Date,CAPE
1881-12-01,16.478642316644862
1882-12-01,15.192670313165348
1883-12-01,15.40821814244887
1884-12-01,13.304437602119725
1885-12-01,16.824034498619017
1886-12-01,18.96831263494284
1887-12-01,15.950712201066782
1888-12-01,15.223749016946291
1889-12-01,16.906021170249378
1890-12-01,14.745043493292808
1891-12-01,17.671739174763996
1892-12-01,18.463312690799995
1893-12-01,15.94241140057167
1894-12-01,16.542784447444546
1895-12-01,17.342998991921693
1896-12-01,17.089425242371117
1897-12-01,18.358448098050218
1898-12-01,20.52741632481129
1899-12-01,20.1964575208023
1900-12-01,19.419584603760768
1901-12-01,22.37507477765281
1902-12-01,20.408541255072183
1903-12-01,15.407877534297896
1904-12-01,18.076200223770066
1905-12-01,19.443525693264974
1906-12-01,18.141851654007944
1907-12-01,10.591177559189784
1908-12-01,14.435014091256262
1909-12-01,14.745631176824592
1910-12-01,14.164523175780355
1911-12-01,13.727997586413096
1912-12-01,13.749541018606537
1913-12-01,11.07253784503801
1914-12-01,10.516917642992123
1915-12-01,12.85771445355932
1916-12-01,12.053230403230497
1917-12-01,6.753013604774306
1918-12-01,6.333327495354157
1919-12-01,6.467022574133137
1920-12-01,5.126407930947929
1921-12-01,5.838196993200892
1922-12-01,7.998253772269839
1923-12-01,7.546327911916231
1924-12-01,8.888327361250969
1925-12-01,10.886317440307938
1926-12-01,12.615251212344486
1927-12-01,18.131301434952416
1928-12-01,25.12198457110959
1929-12-01,21.171036000097036
1930-12-01,16.939711377775165
1931-12-01,11.415600295644676
1932-12-01,8.463309567122899
1933-12-01,12.011766193389937
1934-12-01,11.448808690205702
1935-12-01,16.12960516325114
1936-12-01,21.499765341024162
1937-12-01,13.158119166486065
1938-12-01,16.149571800715506
1939-12-01,16.599238509946645
1940-12-01,14.636689248763611
1941-12-01,10.911668685916972
1942-12-01,9.661334152171657
1943-12-01,10.631033673001422
1944-12-01,11.478459198055477
1945-12-01,14.847702661876777
1946-12-01,11.110043656743297
1947-12-01,10.975407324839065
1948-12-01,10.248096205635568
1949-12-01,10.21586101165064
1950-12-01,11.542173388716295
1951-12-01,11.852030617771044
1952-12-01,12.473469765515313
1953-12-01,11.644070268505773
1954-12-01,15.11731169743439
1955-12-01,18.835559288273906
1956-12-01,17.120339736628264
1957-12-01,13.73624223529849
1958-12-01,16.988883579386332
1959-12-01,18.071789130570217
1960-12-01,17.14608845241901
1961-12-01,21.85795772195967
1962-12-01,17.85438648949714
1963-12-01,20.720399335339703
1964-12-01,23.225019793095825
1965-12-01,23.925461156673727
1966-12-01,19.71125121192897
1967-12-01,21.263102968336288
1968-12-01,22.19552922715816
1969-12-01,18.437760084691046
1970-12-01,14.95076190879173
1971-12-01,15.638712654326644
1972-12-01,18.33889471496806
1973-12-01,14.65184515971057
1974-12-01,8.948984512755606
1975-12-01,10.435859457947902
1976-12-01,11.24885586050796
1977-12-01,9.7662999836602
1978-12-01,8.928418902293147
1979-12-01,8.518784302983553
1980-12-01,9.654043663233386
1981-12-01,7.8107525657161085
1982-12-01,8.347476938155426
1983-12-01,9.853581649364283
1984-12-01,9.69197322178309
1985-12-01,11.164611128667474
1986-12-01,13.872985596138607
1987-12-01,13.590885143189087
1988-12-01,14.445530680872883
1989-12-01,17.24236926694742
1990-12-01,15.187607599503188
1991-12-01,18.288868169301345
1992-12-01,19.83365603880124
1993-12-01,21.037901189606387
1994-12-01,20.20947302039406
1995-12-01,24.34758688111484
1996-12-01,27.585612049012823
1997-12-01,32.33660053281269
1998-12-01,37.369391883920954
1999-12-01,43.2082907146139
2000-12-01,38.78214245678478
2001-12-01,30.005103811056824
2002-12-01,23.34839650272513
2003-12-01,25.94679821842012
2004-12-01,26.46531081481804
2005-12-01,25.93178330906901
2006-12-01,26.928020270856482
2007-12-01,25.729053579498373
2008-12-01,15.259659405704582
2009-12-01,19.81276107996606
2010-12-01,21.700723827760612
2011-12-01,20.345246797645824
2012-12-01,20.8981620595737
2013-12-01,24.642077092412045
2014-12-01,26.60681714714341
2015-12-01,26.225851890971924
2016-12-01,26.850953531056245
2017-12-01,31.298913333880257
2018-12-01,30.19558340670523
2019-12-01,29.836867659083424
2020-12-01,32.47320409661257
2021-12-01,38.58262749771923
2022-12-01,28.37894901627333
2023-12-01,30.01322481738149
2024-12-01,37.350195655078814
2025-12-01,39.14171487316627
2026-04-01,38.93238445998252
